,index,ID,Para,Claim,Evidence,Label,Explanation
0,0,1,"An-My Lê hay Lê Mỹ An theo báo chí tiếng Việt (sinh năm 1960 tại Sài Gòn, nay là Thành phố Hồ Chí Minh ) là giáo sư khoa nhiếp ảnh Trường Đại học Bard tại New York, và là nhiếp ảnh gia người Mỹ gốc Việt . Bà được biết đến với nhiều tác phẩm nghệ thuật về chủ đề chiến tranh và phong cảnh. Năm 2012, bà là một trong những người nhận giải MacArthur Fellowship, được xem là ""giải thiên tài"" của Mỹ. Công việc của bà được giới thiệu ở Whitney Biennial 2017. 
Sinh ra ở Sài Gòn năm 1960, nhiếp ảnh gia An My Lê cùng gia đình di cư đến Hoa Kỳ với tư cách ""tị nạn chính trị""  vào năm 1975. Bà từng ở trại Pendleton rồi theo cha về Sacramento. Sau đó, vào năm 1985, bà lấy bằng tốt nghiệp (Cử nhân (BS) năm 1981 và thạc sĩ (MS) năm 1985) ngành Sinh học ở Viện Đại học Stanford và bằng thạc sĩ nghệ thuật (MFA) năm 1993 tại Viện Đại học Yale năm 1993. 
Từ năm 1998, bà là giảng viên rồi là giáo sư khoa nhiếp ảnh tại Trường Đại học Bard tại New York. ","Lê Mỹ An đã đi đến Hoa Kỳ vào năm 1975 với tư cách ""tị nạn chính trị"", bà cũng được Mỹ trao tặng giải thưởng MacArthur Fellowship.","Năm 2012, bà là một trong những người nhận giải MacArthur Fellowship, được xem là ""giải thiên tài"" của Mỹ. Sinh ra ở Sài Gòn năm 1960, nhiếp ảnh gia An My Lê cùng gia đình di cư đến Hoa Kỳ với tư cách ""tị nạn chính trị""  vào năm 1975.",SUP,"Bà Lê Mỹ An thực sự đã nằm trong danh sách những người được nhận giải MacArthur Fellowship, hay còn gọi là ""giải thiên tài"" ở nước Mỹ. Bà cũng đã đi cùng gia đình di cư đến Mỹ vào năm 1975 với tư cách là những người ""tị nạn chính trị""."
1,1,2,"An-My Lê hay Lê Mỹ An theo báo chí tiếng Việt (sinh năm 1960 tại Sài Gòn, nay là Thành phố Hồ Chí Minh ) là giáo sư khoa nhiếp ảnh Trường Đại học Bard tại New York, và là nhiếp ảnh gia người Mỹ gốc Việt . Bà được biết đến với nhiều tác phẩm nghệ thuật về chủ đề chiến tranh và phong cảnh. Năm 2012, bà là một trong những người nhận giải MacArthur Fellowship, được xem là ""giải thiên tài"" của Mỹ. Công việc của bà được giới thiệu ở Whitney Biennial 2017. 
Sinh ra ở Sài Gòn năm 1960, nhiếp ảnh gia An My Lê cùng gia đình di cư đến Hoa Kỳ với tư cách ""tị nạn chính trị""  vào năm 1975. Bà từng ở trại Pendleton rồi theo cha về Sacramento. Sau đó, vào năm 1985, bà lấy bằng tốt nghiệp (Cử nhân (BS) năm 1981 và thạc sĩ (MS) năm 1985) ngành Sinh học ở Viện Đại học Stanford và bằng thạc sĩ nghệ thuật (MFA) năm 1993 tại Viện Đại học Yale năm 1993. 
Từ năm 1998, bà là giảng viên rồi là giáo sư khoa nhiếp ảnh tại Trường Đại học Bard tại New York. ","Bà Lê Mỹ An được sinh ra ở Hà Nội năm 1960, bà An từng sống tại trại cai nghiện và sau đó lấy bằng tốt nghiệp ngành Sinh học và nghệ thuật vào năm 1985.","Sinh ra ở Sài Gòn năm 1960, nhiếp ảnh gia An My Lê cùng gia đình di cư đến Hoa Kỳ với tư cách ""tị nạn chính trị""  vào năm 1975. Bà từng ở trại Pendleton rồi theo cha về Sacramento. Sau đó, vào năm 1985, bà lấy bằng tốt nghiệp (Cử nhân (BS) năm 1981 và thạc sĩ (MS) năm 1985) ngành Sinh học ở Viện Đại học Stanford và bằng thạc sĩ nghệ thuật (MFA) năm 1993 tại Viện Đại học Yale năm 1993.",REF,"Bà Lê Mỹ An đã được sinh ra tại Sài Gòn, không phải ở Hà Nội, đồng thời không có thông tin cho thấy rằng bà An đã từng sống tại trại cai nghiện nào."
2,2,3,"An-My Lê hay Lê Mỹ An theo báo chí tiếng Việt (sinh năm 1960 tại Sài Gòn, nay là Thành phố Hồ Chí Minh ) là giáo sư khoa nhiếp ảnh Trường Đại học Bard tại New York, và là nhiếp ảnh gia người Mỹ gốc Việt . Bà được biết đến với nhiều tác phẩm nghệ thuật về chủ đề chiến tranh và phong cảnh. Năm 2012, bà là một trong những người nhận giải MacArthur Fellowship, được xem là ""giải thiên tài"" của Mỹ. Công việc của bà được giới thiệu ở Whitney Biennial 2017. 
Sinh ra ở Sài Gòn năm 1960, nhiếp ảnh gia An My Lê cùng gia đình di cư đến Hoa Kỳ với tư cách ""tị nạn chính trị""  vào năm 1975. Bà từng ở trại Pendleton rồi theo cha về Sacramento. Sau đó, vào năm 1985, bà lấy bằng tốt nghiệp (Cử nhân (BS) năm 1981 và thạc sĩ (MS) năm 1985) ngành Sinh học ở Viện Đại học Stanford và bằng thạc sĩ nghệ thuật (MFA) năm 1993 tại Viện Đại học Yale năm 1993. 
Từ năm 1998, bà là giảng viên rồi là giáo sư khoa nhiếp ảnh tại Trường Đại học Bard tại New York. ","Năm 1985, bà Lê Mỹ An đã nhận được bằng tốt nghiệp thạc sĩ ngành Sinh học ở Viện Đại học Stanford và sau đó bà tiếp tục đi theo con đường học tập và đã trở thành tiến sĩ trong ngành Sinh học, công việc này của bà đã được công bố ở Whitney Biennial 2017.","Công việc của bà được giới thiệu ở Whitney Biennial 2017. Bà từng ở trại Pendleton rồi theo cha về Sacramento. Sau đó, vào năm 1985, bà lấy bằng tốt nghiệp (Cử nhân (BS) năm 1981 và thạc sĩ (MS) năm 1985) ngành Sinh học ở Viện Đại học Stanford và bằng thạc sĩ nghệ thuật (MFA) năm 1993 tại Viện Đại học Yale năm 1993.",NEI,"Mặc dù bà Lê Mỹ An đã tốt nghiệp thạc sĩ ngành Sinh học ở Viện Đại học Stanford, tuy nhiên không có thông tin chỉ ra rằng bà đã học tiếp và trở thành tiến sĩ trong lĩnh vực Sinh học."
3,3,4,"Anh hùng xạ điêu là phần mở đầu trong bộ tiểu thuyết võ hiệp Xạ điêu tam bộ khúc của nhà văn Kim Dung. Trong truyện có nhiều nhân vật có tiểu sử riêng. Dưới đây là danh sách các nhân vật xuất hiện trong tiểu thuyết. 
Quách Khiếu Thiên (郭嘯天) là cha của nhân vật chính Quách Tĩnh. Ông là cháu nhiều đời của Trại Nhân Quý Quách Thịnh, một trong 108 anh hùng Lương Sơn Bạc trong tiểu thuyết Thủy Hử của nhà văn Thi Nại Am. 
Lý Bình (李萍) là mẹ của nhân vật chính Quách Tĩnh, là vợ của Quách Khiếu Thiên. ","Truyện Anh hùng xạ điêu chỉ có một nhân vật là có tiểu sử riêng cho bản thân, đồng thời Quách Tĩnh - một trong các nhân vật chính của bộ truyện, có người mẹ tên là Lý Thị Bình, truyện là phần cuối cùng của bộ tiểu thuyết võ hiệp Xạ điêu tam bộ khúc của nhà văn Kim Dung.","Anh hùng xạ điêu là phần mở đầu trong bộ tiểu thuyết võ hiệp Xạ điêu tam bộ khúc của nhà văn Kim Dung. Trong truyện có nhiều nhân vật có tiểu sử riêng. Lý Bình (李萍) là mẹ của nhân vật chính Quách Tĩnh, là vợ của Quách Khiếu Thiên.",REF,"Truyện Anh hùng xạ điêu có nhiều nhân vật có tiểu sử riêng, không phải chỉ có một nhân vật, và thêm vào đó Lý Bình mới là mẹ của Quách Tĩnh chứ không phải Lý Thị Bình, truyện là phần mở đầu chứ không phải là phần kết thúc của bộ tiểu thuyết võ hiệp Xạ điêu tam bộ khúc."
4,4,5,"Anh hùng xạ điêu là phần mở đầu trong bộ tiểu thuyết võ hiệp Xạ điêu tam bộ khúc của nhà văn Kim Dung. Trong truyện có nhiều nhân vật có tiểu sử riêng. Dưới đây là danh sách các nhân vật xuất hiện trong tiểu thuyết. 
Quách Khiếu Thiên (郭嘯天) là cha của nhân vật chính Quách Tĩnh. Ông là cháu nhiều đời của Trại Nhân Quý Quách Thịnh, một trong 108 anh hùng Lương Sơn Bạc trong tiểu thuyết Thủy Hử của nhà văn Thi Nại Am. 
Lý Bình (李萍) là mẹ của nhân vật chính Quách Tĩnh, là vợ của Quách Khiếu Thiên. ","Truyện Anh hùng xạ điêu là phần đầu tiên trong bộ tiểu thuyết võ hiệp Xạ điêu tam bộ khúc của nhà văn Kim Dung, trong đó nhân vật Quách Khiếu Thiên trong bộ truyện là hậu duệ của Trại Nhân Quý Quách Thịnh.","Anh hùng xạ điêu là phần mở đầu trong bộ tiểu thuyết võ hiệp Xạ điêu tam bộ khúc của nhà văn Kim Dung. Ông là cháu nhiều đời của Trại Nhân Quý Quách Thịnh, một trong 108 anh hùng Lương Sơn Bạc trong tiểu thuyết Thủy Hử của nhà văn Thi Nại Am.",SUP,"Bộ tiểu thuyết võ hiệp Xạ điêu tam bộ khúc của nhà văn Kim Dung thực sự được bắt đầu bởi bộ truyện Anh hùng xạ điêu, đồng thời Quách Khiếu Thiên là con cháu qua nhiều đời của Trại Nhân Quý Quách Thịnh, một trong 108 vị anh hùng hảo hán Lương Sơn Bạc."
5,6,7,"Biển Đông là tên riêng mà Việt Nam dùng để gọi vùng biển có tên quốc tế là South China Sea (tiếng Anh, nghĩa là biển ở phía Nam Trung Quốc) hay Mer de Chine méridionale (tiếng Pháp), là một biển rìa lục địa và là một phần của Thái Bình Dương, trải rộng từ Singapore tới eo biển Đài Loan và bao phủ một diện tích khoảng 3.447.000 km². Vịnh Bắc Bộ và vịnh Thái Lan thuộc Biển Đông. Đây là biển lớn thứ tư thế giới sau biển Philippines, biển San Hô và biển Ả Rập. Vùng biển này và các quần đảo của nó là đối tượng tranh chấp và xung đột giữa một vài quốc gia trong vùng. 
Tại Việt Nam, tên gọi Biển Đông là tên gọi truyền thống, trước kia còn gọi là bể Đông hay Đông Hải theo từ Hán Việt, có nghĩa là vùng biển nằm ở phía đông Việt Nam. Lịch triều hiến chương loại chí của Phan Huy Chú, mục Dư địa chí chép: Xét trong sách vở đã ghi chép, đất nước ta phía đông đến biển, phía tây giáp Vân Nam,... Trong Hoàng Việt địa dư chí, Phan Huy Chú viết: 其地西接哀牢,東臨大海,南夾廣南,北連乂安。/ Kỳ địa tây tiếp Ai Lao, đông lâm đại hải, nam giáp Quảng Nam, bắc liên Nghệ An. / Đất [Đàng Trong phía tây tiếp giáp Ai Lao, phía đông  biển lớn, đoạn phía nam là Quảng Nam, phía bắc nối liền với Nghệ An. Trong Bình Ngô đại cáo, Biển Đông được nhắc đến với tên gọi là Đông Hải (東 海). Nguyễn Trãi viết:
Thời Nhà Nguyễn, người Việt cũng vẫn gọi Biển Đông là bể Nam nhưng bằng chữ Nôm, với nghĩa là bể (biển) nước Nam, khác biệt với Nam Hải bằng chữ Hán theo cách viết văn tự chữ Hán (gọi theo người Trung Hoa). Trong cuốn Đại Nam Quốc sử Diễn ca (1870), viết bằng chữ Nôm với thể thơ lục bát, đoạn An Dương Vương mất nước Âu Lạc vào tay Triệu Đà có viết như sau (ở đây Bể Nam và Nam Hải tương đương về vần luật và dấu thanh, nhưng Bể Nam được dùng mà không phải là Nam Hải):","Biển Đông, hay còn được gọi là Đông Hải trong Bình Ngô đại cáo, và các quần đảo xung quanh nó đang bị tranh chấp giữa một số quốc gia trong vùng.","Vùng biển này và các quần đảo của nó là đối tượng tranh chấp và xung đột giữa một vài quốc gia trong vùng. Trong Bình Ngô đại cáo, Biển Đông được nhắc đến với tên gọi là Đông Hải (東 海).",SUP,"Trong BÌnh Ngô đại cáo, biển Đông còn được gọi với cái tên Đông Hải, vùng biển này thực sự đang bị các quốc gia xung quanh tranh chấp và xâu xé nhau để giành lấy tài nguyên."
6,7,8,"Biển Đông là tên riêng mà Việt Nam dùng để gọi vùng biển có tên quốc tế là South China Sea (tiếng Anh, nghĩa là biển ở phía Nam Trung Quốc) hay Mer de Chine méridionale (tiếng Pháp), là một biển rìa lục địa và là một phần của Thái Bình Dương, trải rộng từ Singapore tới eo biển Đài Loan và bao phủ một diện tích khoảng 3.447.000 km². Vịnh Bắc Bộ và vịnh Thái Lan thuộc Biển Đông. Đây là biển lớn thứ tư thế giới sau biển Philippines, biển San Hô và biển Ả Rập. Vùng biển này và các quần đảo của nó là đối tượng tranh chấp và xung đột giữa một vài quốc gia trong vùng. 
Tại Việt Nam, tên gọi Biển Đông là tên gọi truyền thống, trước kia còn gọi là bể Đông hay Đông Hải theo từ Hán Việt, có nghĩa là vùng biển nằm ở phía đông Việt Nam. Lịch triều hiến chương loại chí của Phan Huy Chú, mục Dư địa chí chép: Xét trong sách vở đã ghi chép, đất nước ta phía đông đến biển, phía tây giáp Vân Nam,... Trong Hoàng Việt địa dư chí, Phan Huy Chú viết: 其地西接哀牢,東臨大海,南夾廣南,北連乂安。/ Kỳ địa tây tiếp Ai Lao, đông lâm đại hải, nam giáp Quảng Nam, bắc liên Nghệ An. / Đất [Đàng Trong phía tây tiếp giáp Ai Lao, phía đông  biển lớn, đoạn phía nam là Quảng Nam, phía bắc nối liền với Nghệ An. Trong Bình Ngô đại cáo, Biển Đông được nhắc đến với tên gọi là Đông Hải (東 海). Nguyễn Trãi viết:
Thời Nhà Nguyễn, người Việt cũng vẫn gọi Biển Đông là bể Nam nhưng bằng chữ Nôm, với nghĩa là bể (biển) nước Nam, khác biệt với Nam Hải bằng chữ Hán theo cách viết văn tự chữ Hán (gọi theo người Trung Hoa). Trong cuốn Đại Nam Quốc sử Diễn ca (1870), viết bằng chữ Nôm với thể thơ lục bát, đoạn An Dương Vương mất nước Âu Lạc vào tay Triệu Đà có viết như sau (ở đây Bể Nam và Nam Hải tương đương về vần luật và dấu thanh, nhưng Bể Nam được dùng mà không phải là Nam Hải):","Vịnh Thái Lan không nằm trong Biển Đông, vùng biển này còn được gọi là bể Đông hoặc Đông Hải ở Việt Nam trước kia.","Vịnh Bắc Bộ và vịnh Thái Lan thuộc Biển Đông. Tại Việt Nam, tên gọi Biển Đông là tên gọi truyền thống, trước kia còn gọi là bể Đông hay Đông Hải theo từ Hán Việt, có nghĩa là vùng biển nằm ở phía đông Việt Nam.",REF,"Không chỉ Vịnh Bắc Bộ mà vịnh Thái Lan cũng nằm trong khu vực Biển Đông, và Biển Đông thực sự được người Việt Nam gọi là bể Đông hay Đông Hải ở nhiều năm về trước."
7,9,10,"Bằng lăng nước hay đơn giản là bằng lăng (danh pháp hai phần: Lagerstroemia speciosa) là một loài thực vật thuộc chi Bằng lăng (Lagerstroemia - một chi lớn thảo mộc nước to). Tên này do Giáo sư Phạm Hoàng Hộ viết sách và đặt. Nó không hợp lý ở chỗ đây không phải là loài cây bẩm sinh sinh sống gần nước, mà nó còn mọc trên rừng, phù hợp nhiều loại đất. Do đó, nên đặt nó là bằng lăng lớn (giant crape-myrtle) hoặc bằng lăng Nữ hoàng (Queen's crape-myrtle) như tên Anh của nó. Tên tiếng Pháp là Lilas des Indes, tiếng Anh thông dụng là: Giant Crape-myrtle, Queen 's Crape-myrtle, Pride of India, Queen 's flower. 
Bằng lăng nước được gọi tên là Banabá theo tiếng Tagalog (dân tộc lớn nhất Philippines) là loài cây đặc thù của Ấn Độ. Loài này có nguồn gốc từ vùng nhiệt đới Nam Á, hiện có nhiều ở Đông Nam Á, Ấn Độ và các vùng nhiệt đới khác. Thân cây thẳng và khá nhẵn nhụi. Lá màu xanh lục, dài từ 8 đến 15 cm, rộng từ 3 đến 7 cm, hình oval hoặc elip, rụng theo mùa. Hoa màu tím hoặc tím nhạt, mọc thành chùm dài từ 20 đến 40 cm, thường thấy vào giữa mùa hè. Mỗi bông hoa có 6 cánh, mỗi cánh dài chừng 2 đến 3,5 cm. Quả lúc tươi màu tím nhạt pha xanh lục, mềm. Quả già có đường kính 1,5 đến 2 cm, khô trên cây. 
Bằng lăng nước là loài bằng lăng hoa tím ở vùng nhiệt đới đã được dùng trong y học ở châu Mỹ, Ấn Độ, Philippines,... để trị bệnh tiểu đường. Lá láng bóng loài bằng lăng này chứa Corosolic acid ở mức cao (Corosolic acid là một hóa chất thực vật nổi tiếng làm hạ mức đường trong máu). Trong Y học truyền thống châu Á dùng lá bằng lăng nước làm nước trà để trị đau bao tử và bệnh tiểu đường. Các chất trích ly được thương mại hóa đôi khi cũng được dùng làm bớt mập phì. Chất trích lá bằng lăng nước thường tìm thấy trong các thuốc bổ sung đa thành phần để làm giảm cân, tỉ như Cortislim. Nồng lượng thay đổi tuỳ sản phẩm bán, nhưng thường chứa vài milligram đến vài tá milligram một ngày. Lá bằng lăng nước khó kiếm hơn nhưng được bán dưới dạng nước trích lỏng hoặc thể viên. ","Bằng lăng nước được dùng để làm nước trà trị đau răng và bệnh tiểu đường, đồng thời nó cũng được dùng như một phương pháp giảm cân hiệu quả cho những người bị béo phì","Quả lúc tươi màu tím nhạt pha xanh lục, mềm. Trong Y học truyền thống châu Á dùng lá bằng lăng nước làm nước trà để trị đau bao tử và bệnh tiểu đường. Các chất trích ly được thương mại hóa đôi khi cũng được dùng làm bớt mập phì.",NEI,"Mặc dù có thông tin về việc bằng lăng nước có thể trị bệnh béo phì, tuy nhiên không có thông tin cho rằng nó được dùng để trị bệnh đau răng ở người."
8,10,11,"Bằng lăng nước hay đơn giản là bằng lăng (danh pháp hai phần: Lagerstroemia speciosa) là một loài thực vật thuộc chi Bằng lăng (Lagerstroemia - một chi lớn thảo mộc nước to). Tên này do Giáo sư Phạm Hoàng Hộ viết sách và đặt. Nó không hợp lý ở chỗ đây không phải là loài cây bẩm sinh sinh sống gần nước, mà nó còn mọc trên rừng, phù hợp nhiều loại đất. Do đó, nên đặt nó là bằng lăng lớn (giant crape-myrtle) hoặc bằng lăng Nữ hoàng (Queen's crape-myrtle) như tên Anh của nó. Tên tiếng Pháp là Lilas des Indes, tiếng Anh thông dụng là: Giant Crape-myrtle, Queen 's Crape-myrtle, Pride of India, Queen 's flower. 
Bằng lăng nước được gọi tên là Banabá theo tiếng Tagalog (dân tộc lớn nhất Philippines) là loài cây đặc thù của Ấn Độ. Loài này có nguồn gốc từ vùng nhiệt đới Nam Á, hiện có nhiều ở Đông Nam Á, Ấn Độ và các vùng nhiệt đới khác. Thân cây thẳng và khá nhẵn nhụi. Lá màu xanh lục, dài từ 8 đến 15 cm, rộng từ 3 đến 7 cm, hình oval hoặc elip, rụng theo mùa. Hoa màu tím hoặc tím nhạt, mọc thành chùm dài từ 20 đến 40 cm, thường thấy vào giữa mùa hè. Mỗi bông hoa có 6 cánh, mỗi cánh dài chừng 2 đến 3,5 cm. Quả lúc tươi màu tím nhạt pha xanh lục, mềm. Quả già có đường kính 1,5 đến 2 cm, khô trên cây. 
Bằng lăng nước là loài bằng lăng hoa tím ở vùng nhiệt đới đã được dùng trong y học ở châu Mỹ, Ấn Độ, Philippines,... để trị bệnh tiểu đường. Lá láng bóng loài bằng lăng này chứa Corosolic acid ở mức cao (Corosolic acid là một hóa chất thực vật nổi tiếng làm hạ mức đường trong máu). Trong Y học truyền thống châu Á dùng lá bằng lăng nước làm nước trà để trị đau bao tử và bệnh tiểu đường. Các chất trích ly được thương mại hóa đôi khi cũng được dùng làm bớt mập phì. Chất trích lá bằng lăng nước thường tìm thấy trong các thuốc bổ sung đa thành phần để làm giảm cân, tỉ như Cortislim. Nồng lượng thay đổi tuỳ sản phẩm bán, nhưng thường chứa vài milligram đến vài tá milligram một ngày. Lá bằng lăng nước khó kiếm hơn nhưng được bán dưới dạng nước trích lỏng hoặc thể viên. ","Hoa bằng lăng nước, hay hoa bằng lăng có hoa màu xanh nước biển và hoa mọc thành chùm dài từ 50cm trở lên, quả của hoa bằng lăng có bán kính từ 1,5 đến 2 cm.","Hoa màu tím hoặc tím nhạt, mọc thành chùm dài từ 20 đến 40 cm, thường thấy vào giữa mùa hè. Quả già có đường kính 1,5 đến 2 cm, khô trên cây.",REF,"Màu hoa bằng lăng nước có màu tím hoặc tím nhạt, không phải màu xanh nước biển, đồng thời hoa mọc thành chùm dài chỉ từ 20 đến 40 cm và đường kính quả bằng lăng dài từ 1.5 đến 2 cm chứ không phải bán kính."
9,11,12,"Bằng lăng nước hay đơn giản là bằng lăng (danh pháp hai phần: Lagerstroemia speciosa) là một loài thực vật thuộc chi Bằng lăng (Lagerstroemia - một chi lớn thảo mộc nước to). Tên này do Giáo sư Phạm Hoàng Hộ viết sách và đặt. Nó không hợp lý ở chỗ đây không phải là loài cây bẩm sinh sinh sống gần nước, mà nó còn mọc trên rừng, phù hợp nhiều loại đất. Do đó, nên đặt nó là bằng lăng lớn (giant crape-myrtle) hoặc bằng lăng Nữ hoàng (Queen's crape-myrtle) như tên Anh của nó. Tên tiếng Pháp là Lilas des Indes, tiếng Anh thông dụng là: Giant Crape-myrtle, Queen 's Crape-myrtle, Pride of India, Queen 's flower. 
Bằng lăng nước được gọi tên là Banabá theo tiếng Tagalog (dân tộc lớn nhất Philippines) là loài cây đặc thù của Ấn Độ. Loài này có nguồn gốc từ vùng nhiệt đới Nam Á, hiện có nhiều ở Đông Nam Á, Ấn Độ và các vùng nhiệt đới khác. Thân cây thẳng và khá nhẵn nhụi. Lá màu xanh lục, dài từ 8 đến 15 cm, rộng từ 3 đến 7 cm, hình oval hoặc elip, rụng theo mùa. Hoa màu tím hoặc tím nhạt, mọc thành chùm dài từ 20 đến 40 cm, thường thấy vào giữa mùa hè. Mỗi bông hoa có 6 cánh, mỗi cánh dài chừng 2 đến 3,5 cm. Quả lúc tươi màu tím nhạt pha xanh lục, mềm. Quả già có đường kính 1,5 đến 2 cm, khô trên cây. 
Bằng lăng nước là loài bằng lăng hoa tím ở vùng nhiệt đới đã được dùng trong y học ở châu Mỹ, Ấn Độ, Philippines,... để trị bệnh tiểu đường. Lá láng bóng loài bằng lăng này chứa Corosolic acid ở mức cao (Corosolic acid là một hóa chất thực vật nổi tiếng làm hạ mức đường trong máu). Trong Y học truyền thống châu Á dùng lá bằng lăng nước làm nước trà để trị đau bao tử và bệnh tiểu đường. Các chất trích ly được thương mại hóa đôi khi cũng được dùng làm bớt mập phì. Chất trích lá bằng lăng nước thường tìm thấy trong các thuốc bổ sung đa thành phần để làm giảm cân, tỉ như Cortislim. Nồng lượng thay đổi tuỳ sản phẩm bán, nhưng thường chứa vài milligram đến vài tá milligram một ngày. Lá bằng lăng nước khó kiếm hơn nhưng được bán dưới dạng nước trích lỏng hoặc thể viên. ","Hoa bằng lăng nước thường có màu tím hoặc màu tím nhạt, hoa mọc thành chùm và lá cây chứa một chất axit nguy hiểm ở nồng độ cao, đồng thời cây có thể được sử dụng để chữa bệnh béo phì.","Hoa màu tím hoặc tím nhạt, mọc thành chùm dài từ 20 đến 40 cm, thường thấy vào giữa mùa hè. Lá láng bóng loài bằng lăng này chứa Corosolic acid ở mức cao (Corosolic acid là một hóa chất thực vật nổi tiếng làm hạ mức đường trong máu). Các chất trích ly được thương mại hóa đôi khi cũng được dùng làm bớt mập phì.",SUP,"Hoa của cây bằng lăng thực sự mọc thành chùm và thường có 1 trong 2 màu  tím hoặc tím nhạt, trong lá cây tồn tại một chất acid khá nguy hiểm đối với con người, tuy nhiên cây có thể được dùng để chữa bệnh béo phì."
